Unnamed: 0,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elim_week_result,is_withdrew,is_place,season_max_week,last_week_positive,active_until,week1_p_mean,week2_p_mean,week3_p_mean,week4_p_mean,week5_p_mean,week6_p_mean,week7_p_mean,week8_p_mean,week9_p_mean,week10_p_mean,week11_p_mean,week1_judge_score,week2_judge_score,week3_judge_score,week4_judge_score,week5_judge_score,week6_judge_score,week7_judge_score,week8_judge_score,week9_judge_score,week10_judge_score,week11_judge_score
109,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,,False,True,10,10,10.0,0.144380916230644,0.1776491004143923,0.0003936759863116,0.0012394980814377,0.122902662929798,0.243128768196016,0.0159051639251651,0.2936999328960141,0.0311997399770337,0.4400353083169644,,0.0026631163389088334,0.0026607538802660754,0.002962287932655255,0.003079291762894534,0.003459875060067275,0.0035124253086010375,0.003978487111904661,0.004649034475362512,0.006177797385711115,0.00798201113836789,
110,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,6.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,7.5,7.5,8.5,,7.0,6.0,8.0,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.1763670011349762,0.1724953033719523,0.190086010224623,0.1917612087336072,0.193501365634135,0.1899589227541366,0.1621884899323783,,,,,0.002431541005090674,0.0024390243902439024,0.0023926171763753983,0.0027832060164623674,0.002691013935607881,0.003902668769369237,0.0037574600501321795,,,,
111,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9.0,7.0,9.0,,10.0,8.0,10.0,,8.0,6.0,9.0,,8.5,8.0,8.5,,10.0,9.0,10.0,,12.3333,10.3333,13.3333,,9.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.5,10.0,,9.5,9.5,9.7777,,,,,,,False,True,10,10,10.0,0.0009606439221723,0.0006326763604334,0.1323991288650634,0.0927523604805686,0.0016548353586121,0.0003921829346944,0.0102101840815801,0.0005685521152523,0.0168271259747564,0.0010729590803851,,0.002894691672726993,0.0031042128603104213,0.0026204854788873413,0.0029608574643216674,0.00371616210155374,0.0046832207358187584,0.003978487111904661,0.0051753402650261925,0.006177797385711115,0.00854276785179684,
112,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,8.0,,6.5,6.5,6.5,,7.0,7.0,8.0,,12.0,10.0,12.0,,8.5,8.5,8.5,,8.5,9.0,9.0,,9.5,9.0,9.5,,9.2222,8.8888,8.8888,,,,,,,False,True,10,10,10.0,0.3089021837969657,0.2891790986846871,0.2976612371574596,0.324425761507489,0.3228309240017725,0.2666087457881096,0.427134812033152,0.3953566428233557,0.6849042278240557,0.5588917326026492,,0.002431541005090674,0.002549889135254989,0.0026204854788873413,0.0023094688221709007,0.0028191574563511132,0.004423054092312417,0.0037574600501321795,0.004649034475362512,0.005863672094912244,0.008014991588797725,
113,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.5,5.5,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.0329565127091024,0.033464354947052,0.0367612859757253,0.0378249657253767,0.0234005035728602,,,,,,,0.0018526026705452756,0.0016629711751662971,0.0017090122688395704,0.0018949487771658673,0.0019221528111484864,,,,,,
114,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.0542334726660008,0.0531123565643182,0.0604280244447868,0.0661667571348463,0.0621478584250374,0.0394869883536794,,,,,,0.0023157533381815945,0.0022172949002217295,0.0023926171763753983,0.0022502516728844673,0.0029473009770943455,0.0032522326471294467,,,,,
115,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.0041863295189367,,,,,,,,,,,0.0017368150036361958,,,,,,,,,,
116,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,6.0,6.0,5.5,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.0378938766189659,0.0337974214082475,0.0354675112431774,0.0414816777804868,0.0251815401643926,,,,,,,0.002084178004363435,0.0021064301552106432,0.002278683025119427,0.0020726002250251673,0.002691013935607881,,,,,,
117,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8.0,7.0,8.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.5,6.5,,8.0,5.0,7.0,,10.3333,9.3333,10.3333,,9.0,8.5,8.0,8.0,9.5,9.0,9.5,,10.0,9.0,10.0,,9.3333,8.6666,9.3333,,,,,,,False,True,10,10,10.0,0.1764509071912933,0.2277254008716842,0.22024775525523,0.2448640314685654,0.2380020626216839,0.2609480266910591,0.3140410658131513,0.2674558858940055,0.3248026074540446,0.4625246505803852,,0.0026631163389088334,0.0024390243902439024,0.0026204854788873413,0.002368685971457334,0.0025628704148646484,0.003902681778351861,0.004936271046252079,0.004912187370194353,0.006073088955444825,0.00811396262546115,
118,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.5,9.0,9.5,,8.0,8.0,9.0,,9.0,10.0,10.0,,9.5,9.0,9.0,9.0,9.5,9.5,9.5,,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,,,False,True,10,10,10.0,0.0008397876052497,0.0005517290079193,0.1288665986035622,0.0006619763720494,0.141051920765393,0.1512705587291593,0.0013456587670848,0.0193010068527405,0.0022260017386652,0.0013292111945706,,0.0027789040058179134,0.0026607538802660754,0.0027344196301433126,0.003316160360040268,0.0032035880185808103,0.003772604961090003,0.005378325169797042,0.004999905001804966,0.006282505815977404,0.00890561217727286,
119,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.1064930745074778,0.0973391499883173,0.088439860156067,0.102301498412254,0.1014629958232273,0.1125493990219283,0.087407789375561,,,,,0.0025473286719997538,0.002328159645232816,0.0027344196301433126,0.0023094688221709007,0.003075444497837578,0.0039026947873344858,0.0050836224207670665,,,,
120,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.1540157013577096,0.1422378417326545,0.1312130388464782,0.1432416028640266,0.1382283431028819,0.1510440647960997,0.1873964325863178,0.1853027293774643,,,,0.0021999656712725145,0.002328159645232816,0.0026204854788873413,0.002013383075738734,0.003075444497837578,0.0028619631683959985,0.00515729810802456,0.004210446317309445,,,
121,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0209041404341373,0.0174492832420126,0.0109662624447525,,,,,,,,,0.0017368150036361958,0.0019955654101995565,0.0020508147226074845,,,,,,,,
122,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0120377016100507,0.0063149158054471,,,,,,,,,,0.0018526026705452756,0.0013303769401330377,,,,,,,,,
123,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,9.0,9.0,9.5,10.0,,9.5,9.5,9.5,,,,,,,,,,9.0,False,False,10,9,9.0,0.0837213238432316,0.1178525561685132,0.1112082870922666,0.1054729884637164,0.0003421918306521,0.0006122793693955,0.0577633341408631,0.0169034534162929,0.1652110343958779,,,0.0026631163389088334,0.002328159645232816,0.0027344196301433126,0.0028424231657488007,0.003459875060067275,0.0046832207358187584,0.005378325169797042,0.004999905001804966,0.005968380525178534,,
124,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,7.0,,5.0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0378549922673019,0.0328413856082972,0.0350255119997129,0.0222087191310043,,,,,,,,0.0017368150036361958,0.0019955654101995565,0.002278683025119427,0.001658080180020134,,,,,,,
125,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6.0,7.0,6.0,,8.0,8.0,7.0,,8.0,9.0,9.0,,8.0,7.5,7.5,,7.0,8.0,8.0,,10.6666,10.6666,10.6666,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.0830214039896043,0.0605444184016435,0.0003869413464551,0.0759980955410457,0.0793920679135423,0.039111601492093,,,,,,0.0021999656712725145,0.002549889135254989,0.002962287932655255,0.002723988867175934,0.0029473009770943455,0.004162848421858203,,,,,
126,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6.0,6.0,6.0,,7.0,8.0,7.0,,6.0,6.0,7.0,,5.0,5.5,5.5,,6.0,6.0,6.0,,9.6666,8.6666,9.6666,,8.5,8.0,8.0,8.0,7.5,8.0,8.0,,8.5,9.0,9.0,,8.3333,9.0,8.3333,,,,,,,False,True,10,10,10.0,0.2825807610560413,0.2633458977652634,0.2381782330122973,0.2637694099668503,0.276338877778227,0.2844640699002647,0.352045719317022,0.5110369244594967,0.5077603564114116,0.5361461382250446,,0.002084178004363435,0.0024390243902439024,0.0021647488738634557,0.0018949487771658673,0.0023065833733781835,0.0036424891168802716,0.004788919671737091,0.004122728685698831,0.005549546804113374,0.00761922618363972,
127,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8.0,8.0,8.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,9.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.5,7.5,8.0,7.5,7.5,8.0,,8.0,8.0,8.0,,,,,,,,,,9.0,False,False,10,9,9.0,0.0012214958948431,0.1650969761943992,0.1595872302671084,0.0948156986208661,0.19173853656713,0.2211590025739946,0.0294494380858274,0.281971335488352,0.1944511017817695,,,0.0027789040058179134,0.002328159645232816,0.0023926171763753983,0.0029608574643216674,0.0028191574563511132,0.003122155829867589,0.004862595358994586,0.004035011054088218,0.005026004652781924,,
128,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7.0,7.0,7.0,,6.0,5.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,8.0,8.5,7.5,8.0,9.0,9.0,9.5,,12.0,12.0,12.5,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.1703367781145821,0.2056081761937719,0.1970408228126175,0.0011103603349161,0.139065446247634,0.0197003184918199,0.2289624330521713,0.0031725812705101,0.0023844705427507,0.0469388996503084,,0.002431541005090674,0.0019955654101995565,0.0026204854788873413,0.003079291762894534,0.003331731539324043,0.0036425151348455204,0.004715243984479598,0.004824469738583739,0.007643715409439176,0.008806641140609434,
129,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8.0,7.0,8.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,7.0,8.0,,8.0,9.0,9.0,,8.0,7.0,7.0,8.0,8.5,9.0,9.0,,9.0,9.0,9.0,,9.3333,9.3333,9.3333,,,,,,,False,True,10,10,10.0,0.102870720325562,0.2344208204317489,0.2301387557693111,0.2064156048679382,0.2736700294425859,0.2862354067210477,0.3424267522033185,0.3436549591878223,0.3910994642328727,0.8812941781676288,,0.0026631163389088334,0.0022172949002217295,0.0023926171763753983,0.0026055545686030674,0.0029473009770943455,0.0033823354823565546,0.004420541235449623,0.004649034475362512,0.0056542552343796645,0.008311875013414077,
130,Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,8.0,,9.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,9.0,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.2732550183235516,0.0252320704395393,0.0179810119299618,0.2495500399153954,0.0055420171055158,0.2336752379588159,0.0151225046150072,0.1885727598082039,0.4120649634426062,0.071766922182064,,0.002431541005090674,0.002549889135254989,0.002848353781399284,0.0029608574643216674,0.003459875060067275,0.0035124253086010375,0.004862595358994586,0.004736752106973125,0.006282505815977404,0.008806641140609434,
131,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6.0,5.0,6.0,,6.0,5.0,6.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0250175819041507,0.0269999824336972,0.0242332484971843,0.0154596321527761,,,,,,,,0.0019683903374543552,0.00188470066518847,0.002278683025119427,0.0024871202700302007,,,,,,,
132,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7.0,6.0,6.0,,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,9.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.0470493710384656,0.0058744621927083,0.0588415009613693,0.0503226700413512,0.0387048482625245,0.0498209575273965,,,,,,0.0021999656712725145,0.002549889135254989,0.0023926171763753983,0.002723988867175934,0.003331731539324043,0.002861976177378623,,,,,
133,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.0937673312745104,0.1098798359822773,0.0067745025720737,0.1081200019328329,0.0833481656792685,,,,,,,0.002084178004363435,0.0019955654101995565,0.002848353781399284,0.002723988867175934,0.0028191574563511132,,,,,,
134,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5.0,4.0,4.0,,6.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0201527336992089,0.0145911369697841,,,,,,,,,,0.0015052396698180363,0.00188470066518847,,,,,,,,,
135,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7.0,6.0,6.0,,7.0,8.0,8.0,,7.0,6.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,7.5,8.0,7.0,7.5,8.5,9.0,8.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.142978752815461,0.0675259559854427,0.1744999110393667,0.1576687460296177,0.1086437569992569,0.016526078536676,0.2645435540183691,0.1826283642451115,,,,0.0021999656712725145,0.002549889135254989,0.002278683025119427,0.002723988867175934,0.003331731539324043,0.0036425151348455204,0.004420541235449623,0.004561316843751898,,,
136,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,5.0,4.0,5.0,,6.0,5.0,6.0,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0146273971346919,0.0190318436069654,0.0109930362576483,,,,,,,,,0.0016210273367271162,0.00188470066518847,0.0017090122688395704,,,,,,,,
137,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,6.0,6.0,6.0,,7.0,6.0,6.0,,8.0,7.0,8.0,,6.0,6.0,6.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,7.5,7.5,7.5,8.0,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.1087228194749725,0.1257387395696654,0.1199099798933585,0.1165372461043057,0.1592871996960838,0.1728829981902488,0.1194953180253056,,,,,0.002084178004363435,0.0021064301552106432,0.0026204854788873413,0.0021318173743116006,0.0028191574563511132,0.0032522456561120718,0.004494216922707117,,,,
138,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,5.0,5.0,5.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0138675616519123,0.0079064277182842,,,,,,,,,,0.0017368150036361958,0.002328159645232816,,,,,,,,,
139,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,8.0,7.5,8.0,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.077128273595515,0.0727497450507232,0.0730936322065928,0.0715221540182692,0.0827656532804044,0.1081162994961704,0.0563372240827365,,,,,0.002084178004363435,0.0019955654101995565,0.0027344196301433126,0.002723988867175934,0.0032035880185808103,0.002992066003623106,0.0034627573011022047,,,,
140,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,7.0,6.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,9.0,8.5,9.0,,8.5,8.5,9.0,,10.8333,11.3333,11.3333,,9.3333,9.3333,9.3333,,,,,,,False,True,10,10,10.0,0.1460177721137543,0.0003669673097368,0.000564935685619,0.0005856645242421,0.1582904775576822,0.0094571115788418,0.0010183986794746,0.2180744799194364,0.0060954032261085,0.3928689329432138,,0.0023157533381815945,0.002549889135254989,0.0030762220839112265,0.0034345946586131345,0.003075444497837578,0.003772604961090003,0.003904811424647167,0.004561316843751898,0.007015443886155381,0.008311875013414077,
141,J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,13,1st Place,1,8.0,7.0,7.0,,7.0,7.0,8.0,,9.0,8.0,9.0,,8.0,9.0,9.0,,9.0,9.0,10.0,,10.0,9.0,10.0,,8.5,7.5,8.0,,10.0,10.0,10.0,,9.5,9.0,9.5,,9.3333,9.1666,9.6666,,,,,,,False,True,10,10,10.0,0.0169809182850877,0.2106491716206147,0.2134050618313391,0.2303572107655751,0.0008020342577912,0.0204783440907325,0.3224162747289134,0.0021093882247599,0.6081249820007174,0.6023531794545205,,0.0025473286719997538,0.0024390243902439024,0.002962287932655255,0.003079291762894534,0.003588018580810508,0.003772604961090003,0.0035364329883596983,0.005263057896636806,0.005863672094912244,0.008361330846371867,
142,Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,13,Eliminated Week 1,12,5.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.0079220592136726,,,,,,,,,,,0.0016210273367271162,,,,,,,,,,
143,Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,13,Eliminated Week 9,4,7.0,7.0,7.0,,6.0,7.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,6.0,7.0,,8.5,8.0,8.5,,8.5,9.0,8.5,,8.1666,8.1666,8.1666,,,,,,,,,,9.0,False,False,10,9,9.0,0.12177656365221,0.1364603667593072,0.1452594272536142,0.1462837403189379,0.1594170229545344,0.1991445274111377,0.1701939107480899,0.2168651336859463,0.2405857249847532,,,0.002431541005090674,0.0021064301552106432,0.0027344196301433126,0.0028424231657488007,0.003075444497837578,0.0026017965248896573,0.003683784362874686,0.004561316843751898,0.005130671199676107,,
144,Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,13,Eliminated Week 4,9,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,9.0,9.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0013863786194055,0.019840343087223,0.0183982867502072,0.0135593428764662,,,,,,,,0.0025473286719997538,0.002328159645232816,0.002962287932655255,0.0024871202700302007,,,,,,,
145,Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,13,Eliminated Week 3,10,7.0,6.0,6.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0259934972558086,0.0213821905935125,0.0157255062879946,,,,,,,,,0.0021999656712725145,0.0024390243902439024,0.0027344196301433126,,,,,,,,
146,Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,13,Eliminated Week 5,8,6.0,5.0,6.0,,6.0,6.0,6.0,,8.0,7.0,8.0,,7.0,6.0,7.0,,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.0559060250642873,0.0520721110788921,0.0499651512596251,0.0493247536484291,0.0368986311502615,,,,,,,0.0019683903374543552,0.0019955654101995565,0.0026204854788873413,0.002368685971457334,0.002434726894121416,,,,,,
147,Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,13,Eliminated Week 6,7,6.0,5.0,6.0,,6.0,5.0,6.0,,6.0,6.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.0682384673666155,0.0619470147322722,0.0668113592262736,0.0630546645213789,0.076827182011985,0.0588508089169048,,,,,,0.0019683903374543552,0.00188470066518847,0.0020508147226074845,0.0024871202700302007,0.002691013935607881,0.0024717066986451744,,,,,
148,Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,13,Eliminated Week 8,5,5.0,5.0,6.0,,6.0,8.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,9.0,7.0,8.0,,7.5,7.0,7.5,,7.5,7.0,7.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.1723861666354286,0.1567059851559889,0.1546130462260607,0.1551482939780453,0.1825564207954099,0.2235604410082931,0.1952236899392712,0.1582359899001942,,,,0.0018526026705452756,0.002328159645232816,0.0023926171763753983,0.0024871202700302007,0.0028191574563511132,0.003122155829867589,0.0032417302393297235,0.0038595757908669913,,,
149,Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,13,2nd Place,2,6.0,5.0,5.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,8.0,8.0,,8.0,7.0,7.0,,9.0,8.0,8.5,,8.5,8.5,8.5,,11.1666,10.6666,10.6666,,9.4444,9.4444,9.4444,,,,,,,False,True,10,10,10.0,0.2923963165463021,0.2599196768934447,0.2621635932726732,0.2701641753486557,0.302442577991931,0.380392467497919,0.2548105018215146,0.4047150082696641,0.1451938897884205,0.0047778876022661,,0.0018526026705452756,0.002328159645232816,0.0027344196301433126,0.0028424231657488007,0.0032035880185808103,0.002861976177378623,0.0037574600501321795,0.004473599212141285,0.006806006083936749,0.00841081636470358,
150,William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,14,3rd Place,3,8.0,8.0,8.0,,9.0,7.0,9.0,,9.0,9.0,10.0,,7.0,7.0,8.0,,10.0,9.0,10.0,,12.0,11.0,13.0,,9.0,8.5,9.0,,9.5,9.5,9.5,,9.5,9.5,10.0,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.1903466173868821,0.2015066202948717,0.1254081533535452,0.1906247486460696,0.0138426639397212,0.1981756581129376,0.1974846139998222,0.0020609060769544,0.2314901784553503,0.520069558061718,,0.0027789040058179134,0.002771618625277162,0.0031901562351671978,0.0026055545686030674,0.00371616210155374,0.004683233744801383,0.003904811424647167,0.004999905001804966,0.006073088955444825,0.008806641140609434,
151,Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,14,Eliminated Week 3,11,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0120363806620857,0.0146165241076469,0.0075273774827771,,,,,,,,,0.0026631163389088334,0.002328159645232816,0.0027344196301433126,,,,,,,,
152,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,14,Eliminated Week 4,10,8.0,7.0,8.0,,8.0,7.0,8.0,,8.0,8.0,8.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.0197262222143606,0.0204743749593701,0.0201714529655426,0.0127314724147953,,,,,,,,0.0026631163389088334,0.002549889135254989,0.0027344196301433126,0.0024871202700302007,,,,,,,
