Unnamed: 0,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry_region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,elim_week_result,is_withdrew,is_place,season_max_week,last_week_positive,active_until,week1_q_hat,week2_q_hat,week3_q_hat,week4_q_hat,week5_q_hat,week6_q_hat,week7_q_hat,week8_q_hat,week9_q_hat,week10_q_hat,week11_q_hat,week1_p_mean,week2_p_mean,week3_p_mean,week4_p_mean,week5_p_mean,week6_p_mean,week7_p_mean,week8_p_mean,week9_p_mean,week10_p_mean,week11_p_mean
97,Kathy Ireland,Tony Dovolani,Model,California,United States,46,9,Eliminated Week 2,14,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.013799186795949936,0.01436767540872097,,,,,,,,,,0.013807690674914769,0.009498616551171766,,,,,,,,,
98,Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,9,Withdrew,13,7.3333,6.3333,6.3333,,6.0,6.0,6.0,,6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,10,3,3.0,0.06341266632080078,0.06602511554956436,0.06456156075000763,,,,,,,,,0.06108533729448105,0.06663437717426622,0.0660917726564597,,,,,,,,
99,Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,9,Eliminated Week 1,15,7.3333,5.3333,6.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.05028839781880379,,,,,,,,,,,0.04787383742831865,,,,,,,,,,
100,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,9,Eliminated Week 8,5,10.3333,11.3333,10.3333,,9.0,9.0,9.0,,8.0,6.0,7.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,10.6666,11.6666,10.6666,,8.5,9.0,9.0,,8.0,8.5,8.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.045080363750457764,0.0030408145394176245,0.04766825586557388,0.05908936262130737,0.05981912836432457,0.0643361434340477,0.08221535384654999,0.09616231918334961,,,,0.04573185812108586,0.002635629586571831,0.0490181981506136,0.058737036094638755,0.06478870812720196,0.06329304610927237,0.08382056663865002,0.06629368840670782,,,
101,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,9,2nd Place,2,11.3333,8.3333,11.3333,,9.0,9.0,9.0,,10.0,7.0,10.0,,10.0,8.0,10.0,,9.0,9.0,9.0,,11.0,10.0,12.0,,8.5,7.5,8.5,,9.5,10.0,10.0,,9.3333,9.6666,10.0,,9.4444,9.4444,9.4444,,,,,,,False,True,10,10,10.0,0.06845209002494812,0.004483046475797892,0.004144280217587948,0.019296415150165558,0.05766133591532707,0.09554757922887802,0.12905728816986084,0.0005058780079707503,0.0007807372021488845,0.29308879375457764,,0.06852698152229747,0.0051579095248331375,0.004050617726221798,0.01858645490835632,0.05401798419924744,0.09725678775872278,0.1331331521300156,0.0007747570798942638,0.000848529816518207,0.2878894494448046,
102,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,9,1st Place,1,10.3333,9.3333,10.3333,,8.0,9.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,10.3333,10.3333,10.3333,,8.5,8.5,9.0,,8.5,8.0,8.5,,8.0,8.3333,8.3333,,9.6666,9.6666,9.6666,,,,,,,False,True,10,10,10.0,0.12326806783676147,0.1118335872888565,0.1255382001399994,0.1550799310207367,0.0008541313582099974,0.17179825901985168,0.2298937439918518,0.2532709538936615,0.3080175220966339,0.0030776753555983305,,0.12474431031554692,0.10926990847663827,0.12514716651767166,0.1582590325899575,0.0007854006328349715,0.1684321866443058,0.22382967626507683,0.268744695768203,0.36433529455230335,0.0033500997192338704,
103,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,9,3rd Place,3,9.6666,10.6666,10.6666,,6.0,7.0,6.0,,7.0,6.0,7.0,,8.0,7.0,8.0,,8.0,8.0,8.0,,8.6666,7.6666,8.6666,,8.5,8.5,9.0,,8.0,8.5,9.0,,8.6666,8.6666,8.6666,,8.5,8.5,8.2222,,,,,,,False,True,10,10,10.0,0.1288495659828186,0.13457682728767395,0.13159239292144775,0.1625906527042389,0.16513074934482574,0.1801069676876068,0.23950226604938507,0.26427480578422546,0.3187529146671295,0.7038335800170898,,0.13206050759236063,0.13561424301213426,0.13598270058181064,0.16434139036708387,0.16495229346229398,0.18058472189219876,0.2420517258906745,0.27794052559170246,0.365134874841809,0.7087604508359617,
104,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,10,Eliminated Week 4,9,5.0,5.0,5.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.018855806440114975,0.01806565374135971,0.01953033357858658,0.020542185753583908,,,,,,,,0.01742809928834417,0.01859721505348689,0.022125758104442117,0.01291592047224361,,,,,,,
105,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,10,Eliminated Week 2,11,6.0,6.0,6.0,,7.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.007132404949516058,0.006833517923951149,,,,,,,,,,0.006102535658288064,0.004726718469432319,,,,,,,,,
106,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,10,Eliminated Week 8,5,7.0,5.0,6.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,8.6666,8.6666,8.6666,,8.5,8.0,8.0,,7.0,7.0,7.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.09095167368650436,0.0871385931968689,0.09420213103294373,0.0990859717130661,0.09713868796825409,0.09441489726305008,0.12160995602607727,0.12203190475702286,,,,0.08720883306317091,0.08630871604348535,0.09715325859514712,0.10450005469896201,0.10533385538756915,0.10065249589833573,0.14844841823820784,0.08489188491256273,,,
107,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,10,Eliminated Week 3,10,5.0,4.0,5.0,,4.0,4.0,4.0,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0073762452229857445,0.0070671457797288895,0.007640124298632145,,,,,,,,,0.006575366634428647,0.006615883638635617,0.0044345630443112655,,,,,,,,
108,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,10,Eliminated Week 9,4,6.0,6.0,6.0,,6.0,5.0,5.0,,7.0,6.0,7.0,,7.5,6.5,8.0,,6.0,6.0,6.0,,10.3333,10.3333,10.3333,,8.5,9.0,8.5,,7.5,7.5,7.5,,8.5,8.5,9.0,,,,,,,,,,9.0,False,False,10,9,9.0,0.15515324473381042,0.1486516147851944,0.16070356965065002,0.16892042756080627,0.16570761799812317,0.1552276909351349,0.2050701081752777,0.2081066370010376,0.32995831966400146,,,0.16488443489590732,0.15721857645212517,0.15855705760212976,0.16841347316546781,0.16822799469021463,0.15977189607502768,0.23611293178951603,0.22548298725281493,0.2670689062241537,,
109,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,10,2nd Place,2,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,8.5,9.0,,10.0,9.5,10.0,,9.3333,8.7777,8.7777,,,,,,,False,True,10,10,10.0,0.1480085849761963,0.18474802374839783,0.0008255637949332595,0.001327773672528565,0.1243499368429184,0.23760844767093658,0.017900867387652397,0.2870170772075653,0.02886517159640789,0.44427546858787537,,0.144380916230644,0.17764910041439236,0.000393675986311659,0.0012394980814377347,0.12290266292979805,0.243128768196016,0.015905163925165194,0.29369993289601415,0.031199739977033732,0.44003530831696447,
110,Pamela Anderson,Damian Whitewood,Model,,Canada,42,10,Eliminated Week 7,6,7.0,6.0,8.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,7.5,7.5,8.5,,7.0,6.0,8.0,,9.6666,9.6666,10.6666,,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.18010875582695007,0.1726744920015335,0.18674466013908386,0.19227273762226105,0.1925499141216278,0.18660534918308258,0.24085503816604614,,,,,0.17636700113497625,0.1724953033719523,0.19008601022462301,0.19176120873360722,0.19350136563413506,0.18995892275413662,0.1621884899323783,,,,
111,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,10,1st Place,1,9.0,7.0,9.0,,10.0,8.0,10.0,,8.0,6.0,9.0,,8.5,8.0,8.5,,10.0,9.0,10.0,,12.3333,10.3333,13.3333,,9.0,9.0,9.0,,10.0,9.5,10.0,,10.0,9.5,10.0,,9.5,9.5,9.7777,,,,,,,False,True,10,10,10.0,0.0006656585610471666,0.0004908600240014493,0.13025569915771484,0.08949357271194458,0.0009034473332576454,0.0005453514750115573,0.009914490394294262,0.0006536070141009986,0.01590748317539692,0.0010022004134953022,,0.0009606439221723726,0.0006326763604334991,0.1323991288650634,0.09275236048056867,0.0016548353586121167,0.0003921829346944065,0.01021018408158019,0.0005685521152523978,0.016827125974756472,0.0010729590803851597,
112,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,10,3rd Place,3,7.0,7.0,7.0,,8.0,7.0,8.0,,8.0,7.0,8.0,,6.5,6.5,6.5,,7.0,7.0,8.0,,12.0,10.0,12.0,,8.5,8.5,8.5,,8.5,9.0,9.0,,9.5,9.0,9.5,,9.2222,8.8888,8.8888,,,,,,,False,True,10,10,10.0,0.3014712333679199,0.28782913088798523,0.3065855801105499,0.329998642206192,0.32320064306259155,0.2665269672870636,0.4046495258808136,0.3821908235549927,0.6252690553665161,0.5547223687171936,,0.3089021837969657,0.2891790986846871,0.2976612371574596,0.324425761507489,0.3228309240017725,0.26660874578810967,0.427134812033152,0.39535664282335575,0.6849042278240557,0.5588917326026492,
113,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,10,Eliminated Week 5,8,6.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.5,5.5,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.03338008001446724,0.031981296837329865,0.034574221819639206,0.03636544570326805,0.035650793462991714,,,,,,,0.032956512709102465,0.03346435494705202,0.03676128597572535,0.03782496572537672,0.02340050357286021,,,,,,
114,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,10,Eliminated Week 6,7,7.0,6.0,7.0,,6.0,7.0,7.0,,7.0,7.0,7.0,,6.5,6.5,6.0,,8.0,7.0,8.0,,8.3333,8.3333,8.3333,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.05689620599150658,0.05451980605721474,0.058938074856996536,0.061993230134248734,0.06049898639321327,0.05907132849097252,,,,,,0.05423347266600085,0.05311235656431828,0.060428024444786815,0.06616675713484639,0.0621478584250374,0.03948698835367949,,,,,
115,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,11,Eliminated Week 1,12,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,False,10,1,1.0,0.006348807830363512,,,,,,,,,,,0.004186329518936735,,,,,,,,,,
116,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,11,Eliminated Week 5,8,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,6.0,7.0,,6.0,6.0,5.5,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.04042302072048187,0.036362551152706146,0.03439953923225403,0.037662286311388016,0.03764968737959862,,,,,,,0.03789387661896594,0.03379742140824756,0.0354675112431774,0.04148167778048688,0.025181540164392655,,,,,,
117,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,11,2nd Place,2,8.0,7.0,8.0,,8.0,7.0,7.0,,8.0,7.0,8.0,,7.0,6.5,6.5,,8.0,5.0,7.0,,10.3333,9.3333,10.3333,,9.0,8.5,8.0,8.0,9.5,9.0,9.5,,10.0,9.0,10.0,,9.3333,8.6666,9.3333,,,,,,,False,True,10,10,10.0,0.1757017821073532,0.23430289328098297,0.22198441624641418,0.24364104866981506,0.24359522759914398,0.2556367814540863,0.30644625425338745,0.24321629106998444,0.29485884308815,0.4583589434623718,,0.17645090719129333,0.22772540087168422,0.22024775525523005,0.24486403146856545,0.23800206262168394,0.26094802669105915,0.31404106581315133,0.26745588589400554,0.32480260745404466,0.4625246505803852,
118,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,11,1st Place,1,8.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.5,9.0,9.5,,8.0,8.0,9.0,,9.0,10.0,10.0,,9.5,9.0,9.0,9.0,9.5,9.5,9.5,,10.0,10.0,10.0,,10.0,10.0,10.0,,,,,,,False,True,10,10,10.0,0.001206898712553084,0.000563740381039679,0.1265866607427597,0.0005929553299210966,0.13771174848079681,0.1513233333826065,0.0017476619686931372,0.01962919533252716,0.0015265089459717274,0.001169938943348825,,0.0008397876052497296,0.0005517290079193259,0.12886659860356225,0.0006619763720494144,0.14105192076539308,0.15127055872915932,0.0013456587670848108,0.019301006852740575,0.0022260017386652427,0.0013292111945706572,
119,Rick Fox,Cheryl Burke,Athlete,,Canada,41,11,Eliminated Week 7,6,8.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,6.0,7.0,6.5,,8.0,8.0,8.0,,10.0,10.0,10.0,,9.0,8.5,8.5,8.5,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.10329067707061768,0.09599755704402924,0.08747789263725281,0.09942503273487091,0.09909223765134811,0.10443056374788284,0.12492810189723969,,,,,0.1064930745074778,0.09733914998831732,0.08843986015606707,0.10230149841225404,0.10146299582322735,0.11254939902192833,0.08740778937556105,,,,
120,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,11,Eliminated Week 8,5,7.0,5.0,7.0,,7.0,7.0,7.0,,8.0,8.0,7.0,,6.0,5.5,5.5,,8.0,8.0,8.0,,7.3333,7.3333,7.3333,,9.5,8.5,8.5,8.5,8.0,8.0,8.0,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.1489291787147522,0.13395780324935913,0.12665081024169922,0.13875877857208252,0.13828077912330627,0.1458337903022766,0.17251279950141907,0.24455010890960693,,,,0.15401570135770964,0.14223784173265455,0.1312130388464782,0.14324160286402668,0.13822834310288193,0.15104406479609975,0.18739643258631788,0.18530272937746434,,,
121,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,11,Eliminated Week 3,10,5.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.01958003081381321,0.01761321909725666,0.016662372276186943,,,,,,,,,0.020904140434137398,0.01744928324201262,0.010966262444752581,,,,,,,,
122,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,11,6.0,5.0,5.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.010797868482768536,0.009713223204016685,,,,,,,,,,0.012037701610050716,0.006314915805447111,,,,,,,,,
123,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,11,Eliminated Week 9,4,7.0,8.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,11.3333,12.3333,12.3333,,9.0,9.0,9.5,9.0,9.0,9.5,10.0,,9.5,9.5,9.5,,,,,,,,,,9.0,False,False,10,9,9.0,0.08851341903209686,0.11861883848905563,0.10804590582847595,0.10399577766656876,0.00043751130579039454,0.0005775649915449321,0.05524956062436104,0.016946183517575264,0.2066669464111328,,,0.08372132384323168,0.1178525561685132,0.11120828709226661,0.10547298846371649,0.00034219183065212514,0.0006122793693955529,0.05776333414086318,0.016903453416292954,0.16521103439587798,,
124,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,11,Eliminated Week 4,9,5.0,5.0,5.0,,6.0,6.0,6.0,,7.0,6.0,7.0,,5.0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.03718838840723038,0.03345281258225441,0.03164687007665634,0.034648556262254715,,,,,,,,0.037854992267301935,0.03284138560829724,0.035025511999712974,0.02220871913100433,,,,,,,
125,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,11,Eliminated Week 6,7,6.0,7.0,6.0,,8.0,8.0,7.0,,8.0,9.0,9.0,,8.0,7.5,7.5,,7.0,8.0,8.0,,10.6666,10.6666,10.6666,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.078604556620121,0.059866152703762054,0.0002562479639891535,0.07162512838840485,0.0736733004450798,0.05880077928304672,,,,,,0.08302140398960431,0.06054441840164352,0.0003869413464551689,0.0759980955410457,0.07939206791354234,0.03911160149209302,,,,,
126,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,11,3rd Place,3,6.0,6.0,6.0,,7.0,8.0,7.0,,6.0,6.0,7.0,,5.0,5.5,5.5,,6.0,6.0,6.0,,9.6666,8.6666,9.6666,,8.5,8.0,8.0,8.0,7.5,8.0,8.0,,8.5,9.0,9.0,,8.3333,9.0,8.3333,,,,,,,False,True,10,10,10.0,0.2894153594970703,0.25955116748809814,0.24628925323486328,0.26965048909187317,0.26955950260162354,0.2833971679210663,0.3391157388687134,0.47565823793411255,0.4969477355480194,0.540471076965332,,0.2825807610560413,0.2633458977652634,0.23817823301229735,0.26376940996685033,0.276338877778227,0.2844640699002647,0.35204571931702205,0.5110369244594967,0.5077603564114116,0.5361461382250446,
127,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,12,Eliminated Week 9,4,8.0,8.0,8.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,8.0,8.0,9.0,,8.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.5,7.5,8.0,7.5,7.5,8.0,,8.0,8.0,8.0,,,,,,,,,,9.0,False,False,10,9,9.0,0.0009391166968271136,0.16137993335723877,0.16033264994621277,0.09612720459699631,0.18252886831760406,0.2093987911939621,0.029429499059915543,0.2489844411611557,0.2536099851131439,,,0.0012214958948431052,0.16509697619439928,0.15958723026710844,0.09481569862086615,0.19173853656713008,0.2211590025739946,0.029449438085827485,0.28197133548835207,0.1944511017817695,,
128,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,12,3rd Place,3,7.0,7.0,7.0,,6.0,5.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,8.0,8.5,7.5,8.0,9.0,9.0,9.5,,12.0,12.0,12.5,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.1717698723077774,0.20068641006946564,0.19706586003303528,0.0011073049390688539,0.13211560249328613,0.021184677258133888,0.21492144465446472,0.00344108697026968,0.0014331239508464932,0.047051846981048584,,0.17033677811458217,0.20560817619377195,0.1970408228126175,0.0011103603349161308,0.139065446247634,0.01970031849181993,0.22896243305217137,0.0031725812705101337,0.0023844705427507142,0.04693889965030848,
129,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,12,2nd Place,2,8.0,7.0,8.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,7.0,7.0,8.0,,8.0,7.0,8.0,,8.0,9.0,9.0,,8.0,7.0,7.0,8.0,8.5,9.0,9.0,,9.0,9.0,9.0,,9.3333,9.3333,9.3333,,,,,,,False,True,10,10,10.0,0.10088380426168442,0.23080648481845856,0.22915726900100708,0.20997071266174316,0.26218125224113464,0.27863994240760803,0.3250822126865387,0.3122154176235199,0.3588394224643707,0.8784675002098083,,0.10287072032556203,0.23442082043174892,0.23013875576931112,0.20641560486793822,0.27367002944258595,0.28623540672104775,0.3424267522033185,0.3436549591878223,0.39109946423287273,0.8812941781676288,
130,Hines Ward,Kym Johnson,Athlete,,South Korea,35,12,1st Place,1,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,8.0,,9.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,8.0,8.0,8.0,9.0,9.0,9.0,9.0,,10.0,10.0,10.0,,10.0,9.6666,10.0,,,,,,,False,True,10,10,10.0,0.27300575375556946,0.028956051915884018,0.018903618678450584,0.24971070885658264,0.006402044091373682,0.23714058101177216,0.01564359851181507,0.18113014101982117,0.38611742854118347,0.07448070496320724,,0.27325501832355165,0.025232070439539334,0.01798101192996188,0.24955003991539546,0.005542017105515851,0.23367523795881598,0.015122504615007288,0.1885727598082039,0.4120649634426062,0.07176692218206401,
131,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,12,Eliminated Week 4,9,6.0,5.0,6.0,,6.0,5.0,6.0,,7.0,6.0,7.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,False,False,10,4,4.0,0.02227473445236683,0.025906143710017204,0.025733675807714462,0.023597605526447296,,,,,,,,0.02501758190415073,0.026999982433697285,0.024233248497184338,0.015459632152776135,,,,,,,
132,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,12,Eliminated Week 6,7,7.0,6.0,6.0,,8.0,7.0,8.0,,7.0,7.0,7.0,,8.0,7.0,8.0,,9.0,8.0,9.0,,7.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,False,False,10,6,6.0,0.04768001288175583,0.0050341361202299595,0.05508390814065933,0.05064024403691292,0.03650591894984245,0.07233040034770966,,,,,,0.04704937103846562,0.005874462192708346,0.05884150096136934,0.05032267004135126,0.03870484826252457,0.04982095752739653,,,,,
133,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,12,Eliminated Week 5,8,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,False,False,10,5,5.0,0.09523484855890274,0.11076082289218903,0.00656433729454875,0.10086745023727417,0.12639029324054718,,,,,,,0.0937673312745104,0.10987983598227738,0.006774502572073783,0.10812000193283293,0.08334816567926853,,,,,,
134,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,12,Eliminated Week 2,11,5.0,4.0,4.0,,6.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.019006652757525444,0.022105278447270393,,,,,,,,,,0.020152733699208936,0.014591136969784174,,,,,,,,,
135,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,12,Eliminated Week 8,5,7.0,6.0,6.0,,7.0,8.0,8.0,,7.0,6.0,7.0,,7.0,8.0,8.0,,9.0,8.0,9.0,,10.0,9.0,9.0,,7.5,8.0,7.0,7.5,8.5,9.0,8.5,,,,,,,,,,,,,,8.0,False,False,10,8,8.0,0.14478328824043274,0.06965925544500351,0.16726669669151306,0.1534421294927597,0.11085247993469238,0.017670821398496628,0.2376733124256134,0.2542289197444916,,,,0.142978752815461,0.06752595598544277,0.17449991103936677,0.1576687460296177,0.10864375699925699,0.01652607853667604,0.26454355401836915,0.18262836424511159,,,
136,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,12,Eliminated Week 3,10,5.0,4.0,5.0,,6.0,5.0,6.0,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,False,False,10,3,3.0,0.0163063146173954,0.018964704126119614,0.01883845217525959,,,,,,,,,0.014627397134691916,0.019031843606965432,0.010993036257648338,,,,,,,,
137,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,12,Eliminated Week 7,6,6.0,6.0,6.0,,7.0,6.0,6.0,,8.0,7.0,8.0,,6.0,6.0,6.0,,8.0,7.0,7.0,,8.0,8.0,9.0,,7.5,7.5,7.5,8.0,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.10811563581228256,0.12574085593223572,0.12105348706245422,0.11453661322593689,0.1430235058069229,0.163634791970253,0.17724990844726562,,,,,0.10872281947497255,0.1257387395696654,0.11990997989335851,0.1165372461043057,0.15928719969608388,0.17288299819024888,0.11949531802530561,,,,
138,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,13,Eliminated Week 2,11,5.0,5.0,5.0,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,False,False,10,2,2.0,0.0132288271561265,0.0120434844866395,,,,,,,,,,0.013867561651912393,0.007906427718284216,,,,,,,,,
139,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,13,Eliminated Week 7,6,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,8.0,9.0,8.0,,8.0,7.0,8.0,,8.0,7.5,8.0,,,,,,,,,,,,,,,,,,7.0,False,False,10,7,7.0,0.07634870707988739,0.07005763798952103,0.06918416172266006,0.0709032192826271,0.0783218964934349,0.09755780547857285,0.08418349176645279,,,,,0.07712827359551507,0.0727497450507232,0.07309363220659283,0.07152215401826922,0.08276565328040449,0.10811629949617044,0.05633722408273653,,,,
140,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,13,3rd Place,3,7.0,6.0,7.0,,8.0,7.0,8.0,,9.0,9.0,9.0,,10.0,9.0,10.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,9.0,8.5,9.0,,8.5,8.5,9.0,,10.8333,11.3333,11.3333,,9.3333,9.3333,9.3333,,,,,,,False,True,10,10,10.0,0.14722883701324463,0.0007240878767333925,0.0005985447787679732,0.0005638004513457417,0.15696145594120026,0.011247014626860619,0.0007593256887048483,0.19332458078861237,0.004844263661652803,0.3982076048851013,,0.14601777211375438,0.00036696730973687536,0.000564935685619013,0.0005856645242421533,0.1582904775576822,0.00945711157884185,0.001018398679474609,0.2180744799194364,0.006095403226108511,0.39286893294321384,
